dr_ndrugs,dr_kol,revenue,profit,abc_amount,abc_revenue,abc_profit,xyz
5 ДНЕЙ КРЕМ Д/НОГ ОТ ПОТА И ЗАПАХА 30МЛ./35Г.,3.0,1028.0,318.05,B,B,A,
"5 ДНЕЙ СР-ВО Д/НОГ ОТ ПОТА И ЗАПАХА 1,5Г. №10 ПОР. ПАК.",8.0,993.0,340.39,A,B,A,Z
5-HTP НОЧНОЙ КОМПЛЕКС 515МГ. №30 ТАБ. П/О,1.0,360.0,112.38999999999999,C,C,B,
7 НОТ ЗДОРОВЬЯ БАДЯГА ФОРТЕ ГЕЛЬ П/ПЯТЕН П/УГРЯХ И СИНЯКАХ 75МЛ.,3.0,337.0,104.83999999999999,B,C,B,
7 СЕМЬ ДНЕЙ МАСКА Д/ЛИЦА ПЯТНИЦА ЗАЖИГ. ПЕРЕД ВЕЧЕРИНКОЙ КОКОС.ВОДА+ЛИЧИ 28МЛ. [7 DAYS VILENTA],1.0,95.0,32.74,C,C,C,
7 СЕМЬ ДНЕЙ МАСКА Д/ЛИЦА ЧЕТВЕРГ АКТИВ. ПОСЛЕ ЗАНЯТ.СПОРТОМ ПИОН+ЧЕРНИКА 28МЛ. [7 DAYS VILENTA],1.0,82.0,28.439999999999998,C,C,C,
9 МЕСЯЦЕВ ОМЕГАМАМА №30 КАПС.,1.0,757.0,29.700000000000045,C,B,C,
"9 МЕСЯЦЕВ ФОЛИЕВАЯ К-ТА 0,4МГ. №30 ТАБ. П/П/О /ВАЛЕНТА/",10.0,1387.14,189.88,A,B,B,Z
"9 МЕСЯЦЕВ ФОЛИЕВАЯ К-ТА 0,4МГ. №90 ТАБ. П/П/О /ВАЛЕНТА/",4.0,1720.0,264.12,B,A,B,
911-БАДЯГА ГЕЛЬ Д/ТЕЛА ОТ СИНЯКОВ И УШИБОВ 100МЛ.,4.0,380.0,133.72,B,C,B,X
"911-ВЕНОЛГОН ГЕЛЬ Д/НОГ ПРИ ТЯЖЕСТИ,БОЛИ,ОТЕКАХ 100МЛ. ТУБА",13.0,1458.0,480.46999999999997,A,B,A,Z
911-ГЕЛЬ-БАЛЬЗАМ Д/ВЕН/НОГ ЭКСТР. ПИЯВКИ 100МЛ.,5.0,633.91,210.94,B,B,B,
911-ГЕЛЬ-БАЛЬЗАМ Д/НОГ КОНСКИЙ КАШТАН 100МЛ.,3.0,307.0,106.83,B,C,B,
911-ГЕЛЬ-БАЛЬЗАМ Д/НОГ КОНСКИЙ КАШТАН 100МЛ. ТУБА,5.0,503.0,169.56,B,B,B,
911-ГЕЛЬ-БАЛЬЗАМ Д/СУСТАВОВ ЖИВОКОСТ 100МЛ.,3.0,303.0,82.65,B,C,C,
911-ГЕЛЬ-БАЛЬЗАМ Д/СУСТАВОВ ОКОПНИК 100МЛ.,3.0,331.0,121.28,B,C,B,
911-ГЕЛЬ-БАЛЬЗАМ Д/СУСТАВОВ ОКОПНИК 100МЛ. ТУБА,4.0,372.67,131.42000000000002,B,C,B,
911-ГЕЛЬ-БАЛЬЗАМ Д/СУСТАВОВ ОКОПНИК+МУРАВ.К-ТА 100МЛ.,2.0,187.0,62.56,B,C,C,
911-ГЕЛЬ-БАЛЬЗАМ Д/СУСТАВОВ ПЧЕЛИНЫЙ ЯД 100МЛ.,5.0,559.0,192.82999999999998,B,B,B,Z
911-ГЕЛЬ-БАЛЬЗАМ Д/СУСТАВОВ РАЗОГР. ОКОПНИК+МУРАВ.К-ТА 100МЛ.,3.0,286.0,95.47,B,C,C,
911-ГЕЛЬ-БАЛЬЗАМ Д/СУСТАВОВ САБЕЛЬНИК 100МЛ.,8.0,804.0,274.88,A,B,B,Z
911-ГЕЛЬ-БАЛЬЗАМ Д/СУСТАВОВ ХОНДРОИТИН 100МЛ.,3.0,366.0,132.43,B,C,B,
911-ГЕЛЬ-БАЛЬЗАМ Д/ТЕЛА БИШОФИТ П/БОЛИ В СУСТАВАХ И МЫШЦАХ 100МЛ.,7.0,696.0,240.76,A,B,B,Z
911-КРЕМ-БАЛЬЗАМ Д/ТЕЛА ЯД ГЮРЗЫ 50МЛ.,2.0,357.0,101.97999999999999,B,C,B,
911-НОГТИМИЦИН КРЕМ Д/НОГТЕЙ 30МЛ.,1.0,136.0,40.44,C,C,C,
911-РЕВМАЛГОН ГЕЛЬ-БАЛЬЗАМ Д/ТЕЛА 100МЛ.,1.0,115.0,34.540000000000006,C,C,C,
911-РЕВМАЛГОН ГЕЛЬ-БАЛЬЗАМ Д/ТЕЛА 100МЛ. ТУБА,1.0,111.0,37.93000000000001,C,C,C,
911-СЕБОПИРОКС ШАМПУНЬ ОТ ПЕРХОТИ 150МЛ.,1.0,163.0,13.780000000000001,C,C,,
911-СПРЕЙ Д/НОГ ТЕЙМУРОВА 150МЛ.,2.0,148.0,37.300000000000004,B,C,C,
911-СР-ВО ПЕДИКУЛИЦ. Д-95 30МЛ. (10МЛ.Х3 САШЕ),4.0,779.0,280.22999999999996,B,B,B,
911-ШАМПУНЬ ДЕГТЯРНЫЙ П/ПЕРХОТИ 150МЛ.,3.0,420.2,144.5,B,C,B,
911-ШАМПУНЬ ЛУКОВЫЙ П/ВЫПАДЕНИЯ И ОБЛЫСЕНИЯ ВОЛОС 150МЛ.,4.0,621.14,194.23000000000002,B,B,B,X
911-ШАМПУНЬ ЛУКОВЫЙ П/ВЫПАДЕНИЯ И ОБЛЫСЕНИЯ ВОЛОС ЭКСТРАКТ КРАПИВЫ 150МЛ.,2.0,328.8,94.1,B,C,C,
911-ШАМПУНЬ РЕПЕЙНЫЙ П/ВЫПАДЕНИЯ ВОЛОС 150МЛ.,2.0,361.0,122.32,B,C,B,
