respondent_id,Возраст,Как вы оцениваете качество сервиса от 0 до 5?,Как часто вы пользуетесь продуктом?,Регион,Что вам нравится в продукте?,Что следует улучшить?
0,31,2,Раз в неделю,Москва,Доступная цена,Нет комментариев
1,52,1,Редко,Казань,Стабильная работа,Отсутствие мобильного приложения
2,48,1,Раз в неделю,Нижний Новгород,Поддержка 24/7,Сложный интерфейс
3,43,3,Ежедневно,Новосибирск,Поддержка 24/7,Отсутствие поддержки
4,52,2,Несколько раз в неделю,Казань,Поддержка 24/7,Скорость работы
5,53,4,Несколько раз в неделю,Екатеринбург,Функционал,Скорость работы
6,48,5,Редко,Санкт-Петербург,Поддержка 24/7,Нет комментариев
7,40,5,Ежедневно,Новосибирск,Поддержка 24/7,Отсутствие мобильного приложения
8,32,3,Раз в месяц,Санкт-Петербург,Функционал,Скорость работы
9,55,5,Редко,Казань,Поддержка 24/7,Отсутствие поддержки
10,27,2,Раз в месяц,Казань,Функционал,Отсутствие мобильного приложения
11,20,5,Редко,Казань,Доступная цена,Скорость работы
12,18,2,Раз в месяц,Екатеринбург,Поддержка 24/7,Отсутствие мобильного приложения
13,35,1,Редко,Москва,Стабильная работа,Сложный интерфейс
14,46,4,Раз в месяц,Нижний Новгород,Стабильная работа,Отсутствие мобильного приложения
15,32,2,Несколько раз в неделю,Москва,Доступная цена,Отсутствие мобильного приложения
16,38,4,Раз в месяц,Казань,Стабильная работа,Отсутствие поддержки
17,31,3,Раз в неделю,Санкт-Петербург,Стабильная работа,Скорость работы
18,40,4,Раз в неделю,Москва,Доступная цена,Отсутствие мобильного приложения
19,41,3,Несколько раз в неделю,Нижний Новгород,Функционал,Скорость работы
20,36,3,Раз в месяц,Нижний Новгород,Стабильная работа,Отсутствие мобильного приложения
21,23,3,Раз в неделю,Нижний Новгород,Функционал,Отсутствие поддержки
22,41,3,Ежедневно,Новосибирск,Функционал,Отсутствие поддержки
23,45,1,Раз в месяц,Новосибирск,Стабильная работа,Отсутствие мобильного приложения
24,32,4,Редко,Санкт-Петербург,Доступная цена,Скорость работы
25,50,2,Раз в месяц,Нижний Новгород,Доступная цена,Нет комментариев
26,40,2,Редко,Новосибирск,Поддержка 24/7,Отсутствие мобильного приложения
27,45,5,Несколько раз в неделю,Нижний Новгород,Поддержка 24/7,Скорость работы
28,47,2,Раз в месяц,Екатеринбург,Поддержка 24/7,Отсутствие поддержки
29,19,1,Редко,Екатеринбург,Функционал,Сложный интерфейс
30,46,4,Ежедневно,Новосибирск,Удобный интерфейс,Сложный интерфейс
